Freq Amp Phase Re(H) Im(H) GroupDelay PhaseDelay 20Log10(Amp)
1.250000e+002 3.909680e-004 2.729551e-001 3.764938e-004 1.053965e-004 2.245016e-003 3.475373e-004 -6.815718e+001
1.260000e+002 4.038625e-004 2.707467e-001 3.891504e-004 1.080135e-004 2.208396e-003 3.419895e-004 -6.787533e+001
1.270000e+002 4.165032e-004 2.685740e-001 4.015717e-004 1.105220e-004 2.172704e-003 3.365739e-004 -6.760763e+001
1.280000e+002 4.288961e-004 2.664362e-001 4.137627e-004 1.129262e-004 2.137848e-003 3.312862e-004 -6.735296e+001
1.290000e+002 4.410470e-004 2.643323e-001 4.257282e-004 1.152301e-004 2.103859e-003 3.261224e-004 -6.711030e+001
1.300000e+002 4.529617e-004 2.622617e-001 4.374731e-004 1.174374e-004 2.070643e-003 3.210788e-004 -6.687877e+001
1.310000e+002 4.646457e-004 2.602234e-001 4.490022e-004 1.195517e-004 2.038241e-003 3.161515e-004 -6.665756e+001
1.320000e+002 4.761045e-004 2.582168e-001 4.603201e-004 1.215766e-004 2.006608e-003 3.113370e-004 -6.644595e+001
1.330000e+002 4.873433e-004 2.562411e-001 4.714313e-004 1.235153e-004 1.975697e-003 3.066319e-004 -6.624330e+001
1.340000e+002 4.983675e-004 2.542956e-001 4.823403e-004 1.253712e-004 1.945489e-003 3.020329e-004 -6.604901e+001
1.350000e+002 5.091819e-004 2.523796e-001 4.930515e-004 1.271473e-004 1.915999e-003 2.975368e-004 -6.586254e+001
1.360000e+002 5.197915e-004 2.504925e-001 5.035691e-004 1.288465e-004 1.887167e-003 2.931405e-004 -6.568342e+001
1.370000e+002 5.302012e-004 2.486335e-001 5.138973e-004 1.304717e-004 1.858982e-003 2.888412e-004 -6.551119e+001
1.380000e+002 5.404154e-004 2.468020e-001 5.240401e-004 1.320257e-004 1.831441e-003 2.846360e-004 -6.534545e+001
1.390000e+002 5.504389e-004 2.449975e-001 5.340016e-004 1.335111e-004 1.804522e-003 2.805221e-004 -6.518582e+001
1.400000e+002 5.602759e-004 2.432194e-001 5.437857e-004 1.349304e-004 1.778160e-003 2.764969e-004 -6.503196e+001
1.410000e+002 5.699309e-004 2.414670e-001 5.533962e-004 1.362860e-004 1.752408e-003 2.725579e-004 -6.488356e+001
1.420000e+002 5.794080e-004 2.397398e-001 5.628368e-004 1.375803e-004 1.727200e-003 2.687026e-004 -6.474031e+001
1.430000e+002 5.887113e-004 2.380372e-001 5.721112e-004 1.388156e-004 1.702554e-003 2.649287e-004 -6.460195e+001
1.440000e+002 5.978448e-004 2.363588e-001 5.812230e-004 1.399939e-004 1.678401e-003 2.612338e-004 -6.446823e+001
1.450000e+002 6.068124e-004 2.347040e-001 5.901756e-004 1.411173e-004 1.654806e-003 2.576159e-004 -6.433891e+001
1.460000e+002 6.156178e-004 2.330723e-001 5.989724e-004 1.421879e-004 1.631680e-003 2.540727e-004 -6.421378e+001
1.470000e+002 6.242648e-004 2.314633e-001 6.076167e-004 1.432076e-004 1.609048e-003 2.506022e-004 -6.409262e+001
1.480000e+002 6.327569e-004 2.298764e-001 6.161119e-004 1.441782e-004 1.586875e-003 2.472025e-004 -6.397526e+001
1.490000e+002 6.410975e-004 2.283112e-001 6.244611e-004 1.451015e-004 1.565176e-003 2.438715e-004 -6.386152e+001
1.500000e+002 6.492902e-004 2.267673e-001 6.326673e-004 1.459791e-004 1.543917e-003 2.406076e-004 -6.375122e+001
1.510000e+002 6.573382e-004 2.252442e-001 6.407336e-004 1.468128e-004 1.523088e-003 2.374088e-004 -6.364422e+001
1.520000e+002 6.652448e-004 2.237415e-001 6.486630e-004 1.476041e-004 1.502690e-003 2.342735e-004 -6.354037e+001
1.530000e+002 6.730130e-004 2.222588e-001 6.564583e-004 1.483546e-004 1.482687e-003 2.311999e-004 -6.343953e+001
1.540000e+002 6.806461e-004 2.207957e-001 6.641224e-004 1.490656e-004 1.463096e-003 2.281866e-004 -6.334157e+001
1.550000e+002 6.881468e-004 2.193519e-001 6.716579e-004 1.497387e-004 1.443888e-003 2.252318e-004 -6.324638e+001
1.560000e+002 6.955182e-004 2.179268e-001 6.790677e-004 1.503752e-004 1.425060e-003 2.223341e-004 -6.315383e+001
1.570000e+002 7.027631e-004 2.165202e-001 6.863543e-004 1.509763e-004 1.406599e-003 2.194921e-004 -6.306382e+001
1.580000e+002 7.098843e-004 2.151317e-001 6.935202e-004 1.515433e-004 1.388496e-003 2.167043e-004 -6.297625e+001
1.590000e+002 7.168844e-004 2.137610e-001 7.005681e-004 1.520775e-004 1.370745e-003 2.139693e-004 -6.289102e+001
1.600000e+002 7.237660e-004 2.124076e-001 7.075002e-004 1.525800e-004 1.353329e-003 2.112858e-004 -6.280804e+001
1.610000e+002 7.305318e-004 2.110714e-001 7.143191e-004 1.530520e-004 1.336254e-003 2.086525e-004 -6.272722e+001
1.620000e+002 7.371841e-004 2.097519e-001 7.210270e-004 1.534944e-004 1.319492e-003 2.060682e-004 -6.264848e+001
1.630000e+002 7.437255e-004 2.084488e-001 7.276262e-004 1.539085e-004 1.303053e-003 2.035317e-004 -6.257175e+001
1.640000e+002 7.501583e-004 2.071619e-001 7.341189e-004 1.542951e-004 1.286913e-003 2.010417e-004 -6.249694e+001
1.650000e+002 7.564848e-004 2.058908e-001 7.405073e-004 1.546552e-004 1.271087e-003 1.985972e-004 -6.242400e+001
1.660000e+002 7.627072e-004 2.046353e-001 7.467935e-004 1.549898e-004 1.255539e-003 1.961971e-004 -6.235284e+001
1.670000e+002 7.688278e-004 2.033950e-001 7.529795e-004 1.552998e-004 1.240284e-003 1.938402e-004 -6.228342e+001
1.680000e+002 7.748487e-004 2.021697e-001 7.590675e-004 1.555860e-004 1.225304e-003 1.915256e-004 -6.221566e+001
1.690000e+002 7.807719e-004 2.009591e-001 7.650593e-004 1.558493e-004 1.210592e-003 1.892523e-004 -6.214952e+001
1.700000e+002 7.865995e-004 1.997630e-001 7.709569e-004 1.560904e-004 1.196153e-003 1.870192e-004 -6.208493e+001
1.710000e+002 7.923335e-004 1.985810e-001 7.767622e-004 1.563103e-004 1.181965e-003 1.848254e-004 -6.202184e+001
1.720000e+002 7.979758e-004 1.974130e-001 7.824770e-004 1.565095e-004 1.168033e-003 1.826700e-004 -6.196021e+001
1.730000e+002 8.035283e-004 1.962586e-001 7.881030e-004 1.566889e-004 1.154349e-003 1.805522e-004 -6.189998e+001
1.740000e+002 8.089929e-004 1.951177e-001 7.936421e-004 1.568492e-004 1.140904e-003 1.784710e-004 -6.184111e+001
1.750000e+002 8.143712e-004 1.939900e-001 7.990960e-004 1.569909e-004 1.127689e-003 1.764255e-004 -6.178355e+001
1.760000e+002 8.196652e-004 1.928753e-001 8.044663e-004 1.571148e-004 1.114708e-003 1.744151e-004 -6.172727e+001
1.770000e+002 8.248764e-004 1.917734e-001 8.097546e-004 1.572215e-004 1.101949e-003 1.724389e-004 -6.167222e+001
1.780000e+002 8.300066e-004 1.906839e-001 8.149626e-004 1.573116e-004 1.089415e-003 1.704960e-004 -6.161837e+001
1.790000e+002 8.350574e-004 1.896069e-001 8.200918e-004 1.573856e-004 1.077086e-003 1.685859e-004 -6.156567e+001
1.800000e+002 8.400303e-004 1.885419e-001 8.251438e-004 1.574442e-004 1.064973e-003 1.667076e-004 -6.151410e+001
1.810000e+002 8.449270e-004 1.874888e-001 8.301200e-004 1.574879e-004 1.053061e-003 1.648606e-004 -6.146362e+001
1.820000e+002 8.497489e-004 1.864475e-001 8.350218e-004 1.575172e-004 1.041351e-003 1.630442e-004 -6.141419e+001
1.830000e+002 8.544975e-004 1.854176e-001 8.398508e-004 1.575326e-004 1.029833e-003 1.612576e-004 -6.136578e+001
1.840000e+002 8.591742e-004 1.843991e-001 8.446083e-004 1.575346e-004 1.018510e-003 1.595002e-004 -6.131838e+001
1.850000e+002 8.637805e-004 1.833918e-001 8.492956e-004 1.575238e-004 1.007369e-003 1.577714e-004 -6.127193e+001
1.860000e+002 8.683177e-004 1.823953e-001 8.539141e-004 1.575004e-004 9.964153e-004 1.560705e-004 -6.122643e+001
1.870000e+002 8.727871e-004 1.814097e-001 8.584650e-004 1.574650e-004 9.856382e-004 1.543971e-004 -6.118183e+001
1.880000e+002 8.771902e-004 1.804347e-001 8.629497e-004 1.574181e-004 9.750360e-004 1.527504e-004 -6.113812e+001
1.890000e+002 8.815281e-004 1.794701e-001 8.673694e-004 1.573600e-004 9.646024e-004 1.511299e-004 -6.109528e+001
1.900000e+002 8.858021e-004 1.785157e-001 8.717252e-004 1.572911e-004 9.543402e-004 1.495351e-004 -6.105327e+001
1.910000e+002 8.900134e-004 1.775715e-001 8.760185e-004 1.572118e-004 9.442415e-004 1.479653e-004 -6.101207e+001
1.920000e+002 8.941633e-004 1.766372e-001 8.802503e-004 1.571224e-004 9.342999e-004 1.464202e-004 -6.097166e+001
1.930000e+002 8.982528e-004 1.757127e-001 8.844217e-004 1.570235e-004 9.245181e-004 1.448992e-004 -6.093203e+001
1.940000e+002 9.022832e-004 1.747978e-001 8.885339e-004 1.569152e-004 9.148893e-004 1.434017e-004 -6.089314e+001
1.950000e+002 9.062554e-004 1.738924e-001 8.925880e-004 1.567979e-004 9.054094e-004 1.419273e-004 -6.085499e+001
1.960000e+002 9.101707e-004 1.729963e-001 8.965850e-004 1.566720e-004 8.960774e-004 1.404756e-004 -6.081754e+001
1.970000e+002 9.140301e-004 1.721094e-001 9.005260e-004 1.565377e-004 8.868916e-004 1.390460e-004 -6.078079e+001
1.980000e+002 9.178346e-004 1.712316e-001 9.044119e-004 1.563954e-004 8.778447e-004 1.376381e-004 -6.074471e+001
1.990000e+002 9.215853e-004 1.703626e-001 9.082438e-004 1.562453e-004 8.689362e-004 1.362515e-004 -6.070929e+001
2.000000e+002 9.252830e-004 1.695025e-001 9.120226e-004 1.560878e-004 8.601659e-004 1.348858e-004 -6.067451e+001
2.010000e+002 9.289289e-004 1.686509e-001 9.157494e-004 1.559231e-004 8.515249e-004 1.335404e-004 -6.064035e+001
2.020000e+002 9.325238e-004 1.678079e-001 9.194249e-004 1.557515e-004 8.430167e-004 1.322151e-004 -6.060680e+001
2.030000e+002 9.360687e-004 1.669733e-001 9.230501e-004 1.555732e-004 8.346343e-004 1.309095e-004 -6.057385e+001
2.040000e+002 9.395644e-004 1.661469e-001 9.266260e-004 1.553885e-004 8.263783e-004 1.296230e-004 -6.054147e+001
2.050000e+002 9.430120e-004 1.653287e-001 9.301533e-004 1.551976e-004 8.182438e-004 1.283555e-004 -6.050966e+001
2.060000e+002 9.464121e-004 1.645184e-001 9.336330e-004 1.550008e-004 8.102294e-004 1.271064e-004 -6.047839e+001
2.070000e+002 9.497658e-004 1.637161e-001 9.370659e-004 1.547983e-004 8.023329e-004 1.258755e-004 -6.044767e+001
